title,genre,country,year,company,director,actor,date,running_time,keyword,plot
굿 우먼,"코메디,드라마,멜로드라마","스페인, 이탈리아, 영국, 룩셈부르크, 미국",2004,"Meltemi Entertainment, Thema Production, Buskin Film S.r.l., Kanzaman S.A.",마이크 바커,"헬렌 헌트,스칼렛 요한슨",20051208,93,null,"1930년대 뉴욕 상류 사회에서 유부남을 상대로 접대하는 얼린 부인(핼렌 헌트)은 섹시하며 대담하기로 널리 알려진 여성. 그러나 가진 재산이 떨어지고 주변 사람들의 험담에 시달리자 얼린은 부와 패션의 고장 이탈리아 리비에라로 향한다. 그녀가 노리는 것은 젊은 윈드미어 부부를 상대로 무언가 계획을 꾸미는 것.

 얼린 부인의 등장으로 이곳 귀족 사회에서는 적잖은 동요에 휩싸이고 그녀의 행동은 말 많은 사회에서 눈살을 찌푸리게 한다. 그러던 어느 날 아내 (스칼렛 요한슨)의 생일 선물을 고르던 로버트 윈드미어(마크 엄버스)에게 접근한 얼린은 금으로 만든 부채를 사게 한다. 그녀의 묘한 매력에 유혹된 로버트는 그녀의 낭비스러운 생활을 유지케 하기위해 수표를 쓰게 되고 로버트의 친구이자 영국 귀족인 달링턴(스티븐 캠벨모어)은 로버트의 아내 메그에게 빠지게 된다.

 호시탐탐 기회를 노리던 달링턴은 로버트의 서재에서 로버트가 얼린 부인에게 수표를 끊어준 사실을 목격하고 엎친데 덮친격으로 로버트와 얼린 사이가 주변사람들에게 목격되어 루머를 일으킨다. 달링턴의 교묘한 술책에 메그 역시 이 사실을 알게 되고 큰 혼란에 휩싸인다. 그런 가운데 얼린 부인을 감싸며 그녀에게 프로포즈를 하는 터피(톰 윌킨슨)의 등장에 사건은 점입가경에 빠지고 급기야 메그의 21번째 생일 파티 날, 사건은 최고조에 달하는데..."
풍운아,"멜로드라마,활극",대한민국,1926,조선키네마프로덕션,나운규,"나운규,김정숙,주인규,임운학,남궁운",19261218,null,"이혼, 로맨스, 무성영화","러시아의용군으로 유럽전선에 참전했던 니콜라이박은 그리운 조국에왔지만 며칠씩 굶주리고 거리를 헤매다가,우연히 만난 창호의 하숙 집에 머물게 된다. 창호는 부모를 위해 팔려온 혜옥을 만나고,혜옥 을 탐내던 안차덕은 그의 처 영자와 이혼하려고 한다. 영자와 니콜 라이박은 가까와지지만 같이 도주하자는 영자의 청을 거절한다. 이 때 차덕이 나타나 영자에게 이혼을 요구한다. 그리고 혜옥을 돈으로매수한다. 창호와 박이 혜옥을 찾아오려고 차덕의 집에 가는데 차덕은 영자에 의해 살해되고 말았다. 그간 정들었던 하숙생들의 환송을받으며 니콜라이박은 다시 방랑의 길로 떠난다."
그 여자 작사 그 남자 작곡,"코메디,멜로드라마",미국,2007,"Castle Rock Entertainment,Village Roadshow Pictures",마크 로렌스,"드류 배리모어,휴 그랜트,셔만 알퍼트,제이슨 앤툰,블레이크 박슨델",20070228,103,null,"80년대 최고 인기를 누리던 왕년의 팝스타 알렉스(휴 그랜트). 이제는 퇴물 취급을 받는 그에게 어느 날 재기의 기회가 찾아온다. 브리트니보다 인기 많은 최고의 스타 가수 코라 콜만으로부터 듀엣 제안을 받은 것! 단 조건이 있으니 둘이 함께 부를 노래를 알렉스가 만들어야 한다는 것이다. 하지만 작곡에서 손 뗀지 이미 오래인데다 작사라곤 해본 적도 없는 알렉스는 굴러들어온 기회를 놓칠 지경이다.

 그런데 마침 알렉스 앞에 자신의 집 화초를 가꿔주는 수다쟁이 아가씨 소피(드류 베리모어)가 구세주처럼 등장한다. 전에는 시끄럽기만 하던 말소리가 하나 같이 주옥 같은 노랫말! 알렉스는 작사에 남다른 재능을 가진 소피에게 동업을 제안하고. 왠지 인생 최고의 히트송을 만들 수 있을 것 같은데… 
"
미스 포터,드라마,"영국,미국",2006,"Phoenix Pictures,UK Film Council",크리스 누난,"르네 젤위거,이완 맥그리거,바바라 플린,로이드 오웬,에밀리 왓슨",20070125,92,null,"19세기 영국, 어린 시절부터 풍부한 상상력으로 동물들과 친구가 된 베아트릭스 포터(르네 젤위거)는 동물 캐릭터들을 주인공으로 한 책을 출판하려 하지만 세상의 누구도 그녀의 재능을 알아주지 않는다. 그러던 어느 날, 우연히 출판사에서 그녀의 그림을 본 편집자 노만 워른(이완 맥그리거)은 그녀의 재능을 한 눈에 알아차리고 출판을 위해 그녀를 찾아간다.

 베아트릭스를 만난 순간 노만은 그녀의 사랑스러운 매력에 반하고, 베아트릭스 또한 노만의 자상함과 친절함에 반해 그에게 빠져들게 된다. 그러나 부유한 집안의 남자와 결혼하는 것만이 여성들의 최대 관심사였던 시대에 두 사람의 신분 차이는 그들의 사랑을 가로막는다. 그럼에도 베아트릭스는 그와 함께 '피터 래빗 이야기'를 출판하고, 자신의 모든 것을 믿어주는 그를 만난 것을 운명이자 기적이라고 여기고 명예와 재산에도 얽매이지 않고 그와의 사랑을 지켜나가는데..
"
스토킹 그리고 섹스,"드라마,에로",일본,2004,Euro Space,니시무라 신야,"수다 켄지,루비 아이바 ,마치다 시온,마스코 쇼이치",20070614,91,null,"사무직 직원인 '사토시'는 평소에는 진지하고 정상적인 사람인 것처럼 보인다. 그러나 그는 사실상 포르노 영화 수집광이다. 고등학생인 '아이바'는 그녀의 친구인 '마미'와 함께 학교에 등교하지 않고 호기심이 많은 곳에 간다. 

아름다운 미모를 가진 '사요리'는 정형화되거나 어떤 조직에 속하는 것을 아주 싫어한다. 그녀는 그의 오빠와 함께 큰 저택에서 살고 있다. 그녀의 오빠는 늘 학교 친구들과 함께 지내면서 은밀하게 그의 방에 비밀의 장소를 만들고 무언가를 팔고 있다. 

어느 날, 일상적인 삶과는 동떨어진 이들 네 사람이 완벽한 관계를 맺게 되는데…
"
뜨거운 녀석들,"액션,코메디,범죄,미스터리",영국,2007,Working Title Films,에드가 라이트,"사이몬 페그,닉 프로스트,마틴 프리먼,빌 나이,로버트 팝퍼,조 코니쉬,크리스 웨이트",20070621,120,"경찰,좌천,총","런던에서 잘 나가던 경찰 니콜라스는 너무 잘 나간다는 이유로 시골로 좌천된다. 그가 발령받은 곳은 범죄율 제로의 아름다운 마을 샌드포드. 이곳에서 그는 모든 액션 영화를 섭렵한, 착한 순둥이 순경 대니와 파트너가 된다. 하루하루가 너무 평화롭고 조용한 샌드포드. 그러나 이 평화로운 마을 이면에는 엄청난 비밀이 숨겨져 있는데…"
오! 마이 보스,코메디,"덴마크,스웨덴,아이슬란드,이탈리아,프랑스,노르웨이,핀란드,독일",2006,Zentropa,라스 폰 트리에,"얀스 알비너스,피터 갠츨러,프리드릭 토르 프리드릭슨,장 마크 바,캐스퍼 크리스텐슨,아이벤 헤즐,앤더스 호브",20070614,99,null,"지난 10년간 직원들과 동고동락하며 자신의 정체를 숨기고 일반 사원으로 지내온 회사의 소유주, 라운! 회사를 매각하기로 결정을 했지만 창립 때부터 함께 해온 직원들을 생각하면 미안해진다. 그래서 그는 엉터리 배우를 섭외해 회사 매각 협상을 위한 가짜 보스를 만들어낸다. 보스를 직접 만난 적이 없는 10년 근속의 직원들은 그가 진짜 보스인줄로만 아는데…. 어설프기 짝이 없는 이 보스, 직원들의 눈엔 무언가 수상하기만 하다! 회사 매각을 위한 임무를 다그치는 라운과 믿음직스럽지 못한 모습에 의심의 눈초리를 보내는 직원들, 이 사이에서 어설픈 가짜 보스는 과연 임무를 제대로 수행할 수 있을 것인가?"
매혹,멜로드라마,대한민국,1990,㈜우성사,박수일,"윤희,김동현,박근형,이덕근,오영화",19910524,93,"홀아비,정략결혼","태수에게 버림받은 수경은 아픔을 잊으려 방황하다 무홍을 만난다.40대의 홀아비인 그에게 수경은 아버지의 정을 그리워하며 매달리고 무홍은 서서히 그녀를 사랑하게 되어 괴로워한다.그런데 신혼여행을 떠난 줄 알았던 태수가 다시 나타나 집요하게 수경을 맴돈다.아버지의 병환이 깊어가고 형의 압박이 심해져 정략결혼에 응했지만 수경을 잊지 못하는것이다.수경은 장난스러운 대학생 남진에게 호감을 갖는데,그는 태수의 아내 숙희의 동생이었다.수경의 접근에 불안해진 태수는 자신의 이름을 숨긴 채 그녀의 과거를 말하지만 남진은 아랑곳없이 수경에게 다가간다.이성을 잃은 태수가 수경의 목을 조르는 것을 목격한 무홍은 차를 몰고 달려온다.수경은 자기를 괴롭히던 태수가 수경을 밀치고 대신 차에 치어 죽은 것과 자기때문에 살인자가 된 무홍에 대한 생각으로 혼란스럽다.태수의 무덤에서 너무 이기적이었던 사랑을 한탄하며 수경은 자신의 길을 찾아 걸음을 옮긴다."
슈팅 라이크 베컴,"코메디,드라마,스포츠",영국,2001,"BSkyB, Bend It Films, British Screen, Film Council, Filmforderung Hamburg, Helkon Media AG, Kintop Pictures, Road Movies Filmproduktion, Roc Media, Works and Future Film Flnancing",거린다 차다,"파민더 나드라,키이라 나이틀리,조나단 리스 마이어스,아너팜 케어,아치 판자비,샤즈네이 루이스,프랭크 하퍼,데이빗 베컴",20020830,112,"로맨스, 인종차별, 런던, 결혼, 우정, 축구, 페미니즘","동네 공원에서 활약하는 자칭 멀티플레이어 축구선수, 제스의 꿈은 야무지기만 하다. 최고의 오른발 슈터 데이빗 베컴처럼 멋진 프리킥을 날리는 프로축구선수가 되는 것... 세상에서 축구와 베컴처럼 제스를 사로잡는 목표는 없다. 게다가 그는 너무 잘생겼잖아~? 그렇다면...? 그렇다. 제스 밤라는 꿈많은 축구소년이 아니라 축구소녀... 게다가 그녀는 정통 인도계 영국 소녀. 축구를 결사반대하는 엄마, 아빠 몰래 오늘도 제스는 벌거벗은 사내녀석들과 어울려 볼을 찬다. 그런 그녀가 우연히 정식 여자축구단 해리어팀 소속 선수 줄스의 눈에 띈 것은 정말 행운. 등번호 7의 BECKHAM 티를 입고 비상한 프리킥 솜씨를 발휘하는 제스에게 반한 줄스는 팀에서 함께 뛸 것을 제안한다. 드디어 동네 리그에서 탈출한 제스. 매력적인 코치 조로부터 정식 코스를 밟기 시작한다. 그러나 몰래 하는 축구가 결국 들통나는 바람에 결혼을 코앞에 둔 언니 핑키가 파혼당하는 사건이 벌어지고 마는데... 제스 앞에 놓인 첩첩산중같은 장벽들... 과연 제스는 높은 장벽을 넘어 시원통쾌한 베컴슛을 성공시킬 수 있을까?"
택시 운전수의 사랑,드라마,태국,2004,null,콩데이 자투라나사미,"페치타이 웡캄라오,우라누트 용사완",20060921,105,null,"바트는 방콕에서 야간조로 근무하는 택시 운전사다. 그는 라디오에서 흘러나오는 지나간 노래와 소프 오페라를 좋아하며 종종 자신을 주인공으로 생각한다. 우연히 바트의 택시에 탄 창녀 누안은 소박하고 말이 없는 바트에게 동질감과 애정을 느낀다. 점차 가까워지는 그들이지만 도시의 사랑은 라디오의 드라마처럼 낭만적이지 못하다. 소년의 마음을 가진 중년의 남자에게는 아내의 불륜을 목격하고 살인을 저지른 과거가 있고 여인은 남자 손님들을 접대하며 점차 찌들어가는 자신에 괴로워한다. 상처를 가진 두 사람은 도시의 비인간적인 상황들을 피하지 못하고 바닥으로 떨어져 간다. 라디오 프로그램의 DJ에게 보내는 바트의 편지처럼 사람의 선함과 사랑은 지속될 수 있는가?
"
용이 간다,액션,일본,2007,null,미이케 다카시,"공유,기타무라 가즈키,기시타니 고로,시오야 순,나츠오,가토 하루히코,히무로 사에코,사에코",20071011,110,null,"욕망과 폭력이 소용돌이 치는 잠들지 않는 거리 카무로쵸. 한 때 <도지마의 용>이라고 불리던 전설의 남자 '키류 카즈마'가 형기를 마치고 10년 만에 돌아온다. 키류의 출소를 기다리고 있었다는 듯 멈추어 있던 사건의 톱니바퀴가 돌아가기 시작하고 폭발직전의 뜨거움을 숨긴 거리에서는 다양한 사건이일어난다. 100억엔 이라는 거금의 증발, 은행강도, 사랑하는 사람 유미와 은인 카지마의 실종, 수수께끼 같은 한국인의 등장, 강도를 계획하는 커플, 둘 도 없는 친구 니시키야마의 배신... 사건이 꼬리에 꼬리를 무는 가운데 키류의 앞에 어머니를 찾는 소녀 하루카가 나타난다. 키류는 광기로 물든 악한 마지마 고로와 운명의 사투를 벌이며 하루카를 지켜나간다. 그 속에서 별 상관없어 보이던 모든 사건들이 하나의 퍼즐처럼 완성이 되고, 경악할만한 진실이 키류의 눈앞에 펼쳐 지는데..."
즐거운 우리집,드라마,대한민국,2004,한국예술종합학교 영상원,엄혜정,"명계남(아버지),박남희(어머니),정보훈(지수),한보배(지혜)",20040501,18,"아버지, 차압딱지, 죽음","더 이상 가족을 부양할 수 없게 된 아버지. 집에는 여기 저기 차압 딱지가 붙고, 그들에게 남은 선택은 뭐가 있을까? 제목처럼 한때는 단란했을 가족의 슬픈 마지막 이야기. 죽은 이와 살아 있는 이가 같은 공간에서 서로에게 위안이 되기도 하고, 서로에게 위협이 되기도 한다."
